date,futures_price
2016-03-04,830.0
2016-05-16,1050.0
2016-05-18,1088.0
2016-12-12,9953.900390625
2016-12-13,10058.650390625
2016-12-14,10128.9501953125
2016-12-15,10195.75
2016-12-16,10222.9501953125
2016-12-19,10223.650390625
2016-12-20,10322.849609375
2016-12-21,10228.25
2016-12-22,10163.0
2016-12-23,10071.0498046875
2016-12-27,10170.7001953125
2016-12-28,10198.599609375
2016-12-29,10291.849609375
2016-12-30,10399.25
2017-01-03,10362.25
2017-01-04,10496.900390625
2017-01-05,10400.0498046875
2017-01-06,10110.4501953125
2017-01-09,10198.4501953125
2017-01-10,10221.5
2017-01-11,10220.5498046875
2017-01-12,10398.7998046875
2017-01-13,10263.5498046875
2017-01-16,10173.099609375
2017-01-17,10206.7998046875
2017-01-18,10231.599609375
2017-01-19,10222.150390625
2017-01-20,10132.650390625
2017-01-23,10219.400390625
2017-01-24,10201.599609375
2017-01-25,10164.4501953125
2017-01-27,10181.849609375
2017-01-30,10170.650390625
2017-01-31,9848.5
2017-02-01,9750.0
2017-02-02,9926.0
2017-02-03,10025.7998046875
2017-02-06,10029.0498046875
2017-02-07,9997.9501953125
2017-02-08,10007.0498046875
2017-02-09,10167.900390625
2017-02-10,10387.849609375
2017-02-13,10452.900390625
2017-02-14,10474.099609375
2017-02-15,10427.650390625
2017-02-16,10628.0498046875
2017-02-17,10527.2001953125
2017-02-20,10671.25
2017-02-21,10680.75
2017-02-22,10514.7998046875
2017-02-23,10689.650390625
2017-02-27,10706.7001953125
2017-02-28,10680.9501953125
2017-03-01,10748.0498046875
2017-03-02,10741.599609375
2017-03-03,10806.25
2017-03-06,10779.0498046875
2017-03-07,10799.099609375
2017-03-08,10739.4501953125
2017-03-09,10724.75
2017-03-10,10749.849609375
2017-03-14,10879.25
2017-03-15,10696.5498046875
2017-03-16,10822.099609375
2017-03-17,10900.75
2017-03-20,10776.75
2017-03-21,10787.2001953125
2017-03-22,10783.2998046875
2017-03-23,10850.7998046875
2017-03-24,10768.9501953125
2017-03-27,10648.5
2017-03-28,10681.0498046875
2017-03-29,10741.25
2017-03-30,10730.75
2017-03-31,10703.25
